org_id,icnptso_code,icnptso_code_probability,icnptso_code_source
GB-COH-05533834,A11,1.0,ml_model
GB-COH-05542697,L50,1.0,ml_model
GB-COH-05542729,D12,0.984,ml_model
GB-COH-05553130,B31,0.997,ml_model
GB-COH-05562180,F20,0.342,ml_model
GB-COH-05563131,F40,0.637,ml_model
GB-COH-05564058,B13,0.852,ml_model
GB-COH-05585576,F20,0.984,ml_model
GB-COH-05586585,A90,0.352,ml_model
GB-COH-05593417,D13,0.848,ml_model
GB-COH-05595953,D13,0.993,ml_model
GB-COH-05599812,H90,0.902,ml_model
GB-COH-05599821,H10,0.876,ml_model
GB-COH-05601094,B31,0.832,ml_model
GB-COH-05601620,B31,0.703,ml_model
GB-COH-05603520,B31,0.941,ml_model
GB-COH-05603675,F20,0.694,ml_model
GB-COH-05608744,A30,0.994,ml_model
GB-COH-05611576,B31,0.231,ml_model
GB-COH-05615732,H10,0.639,ml_model
GB-COH-05616150,F20,0.503,ml_model
GB-COH-05618826,F20,0.989,ml_model
GB-COH-05618889,F20,1.0,ml_model
GB-COH-05618892,H10,0.878,ml_model
GB-COH-05622796,F20,0.917,ml_model
GB-COH-05622804,F20,0.892,ml_model
GB-COH-05639576,B31,0.999,ml_model
GB-COH-05645010,B31,0.545,ml_model
GB-COH-05647813,F20,0.999,ml_model
GB-COH-05654540,G15,0.78,ml_model
GB-COH-05655435,A11,0.795,ml_model
GB-COH-05656513,F20,1.0,ml_model
GB-COH-05659455,G12,0.482,ml_model
GB-COH-05662504,A11,0.791,ml_model
GB-COH-05664491,F20,0.999,ml_model
GB-COH-05671172,F20,0.996,ml_model
GB-COH-05673626,K10,0.924,ml_model
GB-COH-05673645,A11,0.99,ml_model
GB-COH-05673772,H10,1.0,ml_model
GB-COH-05676902,H10,0.72,ml_model
GB-COH-05686212,F20,0.989,ml_model
GB-COH-05686238,F20,0.999,ml_model
GB-COH-05686370,A11,0.88,ml_model
GB-COH-05687297,B31,1.0,ml_model
GB-COH-05689584,D13,0.967,ml_model
GB-COH-05692080,A90,0.341,ml_model
GB-COH-05695454,F20,0.67,ml_model
GB-COH-05695590,F20,0.827,ml_model
GB-COH-05700276,B31,0.742,ml_model
GB-COH-05700331,A11,0.953,ml_model
GB-COH-05701038,B31,0.941,ml_model
GB-COH-05701963,B32,0.992,ml_model
GB-COH-05705264,B31,0.999,ml_model
GB-COH-05705815,B31,1.0,ml_model
GB-COH-05708301,F30,1.0,ml_model
GB-COH-05708761,F20,0.809,ml_model
GB-COH-05709088,F20,0.803,ml_model
GB-COH-05709102,B31,0.735,ml_model
GB-COH-05709144,F30,1.0,ml_model
GB-COH-05714597,D13,0.999,ml_model
GB-COH-05714619,C12,0.722,ml_model
GB-COH-05717065,A12,0.75,ml_model
GB-COH-05717087,G12,0.393,ml_model
GB-COH-05717143,F20,0.975,ml_model
GB-COH-05724118,F20,0.999,ml_model
GB-COH-05724140,B31,1.0,ml_model
GB-COH-05724158,F20,0.962,ml_model
GB-COH-05724176,H10,0.666,ml_model
GB-COH-05724200,G11,0.939,ml_model
GB-COH-05726598,A11,1.0,ml_model
GB-COH-05729810,I10,1.0,ml_model
GB-COH-05729831,G14,0.937,ml_model
GB-COH-05729866,F20,0.98,ml_model
GB-COH-05729883,F20,0.953,ml_model
GB-COH-05733027,D19,0.998,ml_model
GB-COH-05734438,B20,0.199,ml_model
GB-COH-05737458,G14,0.888,ml_model
GB-COH-05737476,G11,0.468,ml_model
GB-COH-05738739,C12,0.199,ml_model
GB-COH-05738869,F20,1.0,ml_model
GB-COH-05738894,D12,0.994,ml_model
GB-COH-05739266,G12,0.516,ml_model
GB-COH-05741085,F20,1.0,ml_model
GB-COH-05742351,D13,0.995,ml_model
GB-COH-05745067,L50,1.0,ml_model
GB-COH-05745122,B31,0.556,ml_model
GB-COH-05745175,F20,0.999,ml_model
GB-COH-05745187,F20,0.567,ml_model
GB-COH-05745214,B31,0.793,ml_model
GB-COH-05745402,D13,1.0,ml_model
GB-COH-05745427,F20,0.501,ml_model
GB-COH-05745436,B31,0.999,ml_model
GB-COH-05746283,F20,0.925,ml_model
GB-COH-05750582,D13,0.996,ml_model
GB-COH-05751415,B31,0.594,ml_model
GB-COH-05755397,F20,0.997,ml_model
GB-COH-05755659,G12,1.0,ml_model
GB-COH-05760934,H10,0.234,ml_model
