org_id,reg_number,name,postcode,active,date_registered,activities,objects,source,income,spending,fye,Batch ID,web,company_number,UKCAT,ICNPTSO
GB-CHC-1000328,1000328,"SCIENCE, ENGINEERING AND MANUFACTURING TECHNOLOGIES ALLIANCE",WD24 7GP,True,1990-11-09,"The objects of the charity are to promote and advance the education, training and skills development of the current and future workforce in the Science, Engineering and Manufacturing Technologies sectors.  The Charities current activities include consulting with Employers re their current and future Skills Needs and influencing the stakeholders.","(A) TO PROMOTE AND ADVANCE THE EDUCATION, TRAINING AND SKILLS DEVELOPMENT OF PERSONS EMPLOYED OR INTENDING TO BE EMPLOYED IN INDUSTRY (AS DEFINED IN THE ARTICLES OF ASSOCIATION) AND COMMERCE.  (B) SUBJECT TO THE FOREGOING OBJECT, TO EXTEND SUCH TRAINING TO MEMBERS OF THE PUBLIC GENERALLY.",CCEW,13410000,11798000,,Top charities,http://www.semta.org.uk,2324869,,J10
GB-CHC-1000340,1000340,FREEDOM FROM TORTURE,N7 7JW,True,,"The Medical Foundation is a human rights organisation which exists to enable survivors of torture and organised violence to engage in a healing process. We provide direct care, treatment and protection services in five UK centres.  We enage in  activism in order to bring the plight of torture survivors to light and carried out research that underpins our policy and advocacy work.","3.1 THE OBJECTS OF THE CHARITY ARE FOR THE PUBLIC BENEFIT: -  3.1.1 TO PROVIDE RELIEF AND REHABILITATION FOR PERSONS, AND MEMBERS OF THEIR FAMILIES, WHO HAVE BEEN TORTURED OR WHO HAVE BEEN TRAUMATISED BY OBSERVING TORTURE OR RELATED VIOLENCE ON OTHERSCLOSE TO THEM IN RELATIONSHIP OR PROXIMITY, PARTICULARLY AT A YOUNG AGE, IN ANY PART OF THE WORLD, AND WHO, AS SURVIVORS OF TORTURE, ARE IN CONDITIONS OF NEED;  3.1.2 TO EDUCATE, TRAIN AND SUPERVISE LEGAL, MEDICAL AND OTHER PROFESSIONALS AND PERSONSWHO PROVIDE ASSISTANCE TO SURVIVORS OF TORTURE;  3.1.3 TO PROMOTE HUMAN RIGHTS (AS SET OUT IN THE UNIVERSAL DECLARATION OF HUMAN RIGHTS AND SUBSEQUENT UNITED NATIONS CONVENTIONS AND DECLARATIONS) AND THE EUROPEAN CONVENTION ON HUMAN RIGHTS, THE REFUGEE CONVENTION AND THE UNITED NATIONS CONVENTION AGAINST TORTURE (THE ""CONVENTIONS"") BY THE FOLLOWING MEANS:  (I) PROMOTING THE PROTECTION OF AND REDRESS FOR SURVIVORS OF TORTURE BY PROVIDING LEGAL AND WELFARE ADVICE, MEDICO-LEGAL REPORTS, RELIEF AND FINANCIAL AND OTHER ASSISTANCE;  (II) RAISING AWARENESS BOTH IN THE UK AND ABROAD OF INCIDENTS AND PATTERNS OF TORTURE ANYWHERE IN THE WORLD;  (III) RAISING AWARENESS BOTH IN THE UK AND ABROAD OF HUMAN RIGHTS ISSUES RELATING TO THE OBLIGATIONS ON STATES UNDER THE CONVENTIONS TO PREVENT AND PROHIBIT TORTURE, PUNISH THOSE RESPONSIBLE FOR ACTS OF TORTURE, PROVIDE REMEDIES TO SURVIVORS OF TORTURE AND NEVER TO EXPEL, RETURN OR EXTRADITE A PERSON TO ANOTHER STATE WHERE THERE ARE SUBSTANTIAL GROUNDS FORBELIEVING THERE IS A DANGER THEY WILL BE SUBJECTED TO TORTURE;  (IV) CONTRIBUTING TO THE SOUND ADMINISTRATION OF HUMAN RIGHTS LAW AND ENSURING THAT GOVERNMENTS FULFIL THEIR HUMAN RIGHTS OBLIGATIONS RELATING TO TORTURE AND TORTURE SURVIVORS.",CCEW,9511816,8951312,,Top charities,http://www.freedomfromtorture.org,2398586,,G30
GB-CHC-1000392,1000392,THE DAVID LEWIS CENTRE,M41 9EW,True,,"The charity provides services to children, young people and adults including a Special Needs School, Specialist College and Adult Day Services with residential care for young people aged 16 and older and adults.  This is supported by specialist medical, therapeutic and assessment services.","3.1 THE RELIEF OF THOSE WHO ARE IN NEED BY REASON OF MENTAL OR PHYSICAL DISABILITIES, INCLUDING EPILEPSY AND ASSOCIATED NEUROLOGICAL CONDITIONS (""THE BENEFICIARIES"") IN PARTICULAR BUT WITHOUT LIMITATION BY PROVIDING:    = TEMPORARY OR PERMANENT ACCOMMODATION  = EDUCATION, TRAINING AND EMPLOYMENT OPPORTUNITIES  = MEDICAL OR CLINICAL TREATMENT  = SOCIAL AND WELFARE ACTIVITIES FOR THE PURPOSE OF IMPROVING CONDITIONS OF LIFE OF THE BENEFICIARIES    3.2 THE PRESERVATION AND PROMOTION OF GOOD HEALTH BYCONDUCTING OR SUPPORTING STUDY AND RESEARCH INTO THE CAUSES AND TREATMENT OF THE BENEFICIARIES' DISABILITIES AND CONDITIONS AND PUBLISHING AND DISSEMINATING THE USEFUL RESULTS THEREOF.",CCEW,27989000,27067000,,Top charities,http://www.davidlewis.org.uk,2537501,,B13
GB-CHC-1000414,1000414,WELDMAR HOSPICECARE TRUST,DT4 0JH,True,,"Provision of specialist palliative care services to adults and their families, principally in North, South and West Dorset.  The charity operates a 16 bed in patient hospice in Dorchester, day care hospices in Dorchester, Weymouth, Bridport and Shaftesbury and a community nursing team.","TO PROMOTE THE RELIEF OF SICKNESS BY SUCH CHARITABLE MEANS AS THE COMPANY SHALL FROM TIME TO TIME THINK FIT AND IN PARTICULAR (BUT WITHOUT PREJUDICE TO THE GENERALITY OF SUCH OBJECTS) A) BY ESTABLISHING, MAINTAINING AND CONDUCTING A RESPITE CARE CENTRE AND HOSPICE TO BE KNOWN AS THE DORSET RESPITE AND HOSPICE CENTRE B) BY ESTABLISHING, MAINTAINING AND CONDUCTING OTHER HOSPITALS, RESIDENTIAL NURSING HOMES AND CLINICS IN ENGLAND OR WALES FOR THE RECEPTION AND CARE OF PERSONS OF EITHER SEX WHO ARE SUFFERING FROM ANY ILLNESS, DISABILITY, DISEASE OR OTHER INFIRMITY WHETHER PHYSICAL OR MENTAL AND BY PROVIDING MEDICAL OR OTHER TREATMENT AND ATTENTION FOR ANY SUCH PERSONS AS AFORESAID C) BY PROMOTING OR ASSISTING IN THE TEACHING OR TRAINING OF DOCTORS, NURSES, PHYSIOTHERAPISTS AND OTHER PERSONS ENGAGED IN ANY BRANCH OF MEDICINE, SURGERY, NURSING OR ALLIED SERVICES D) BY CONDUCTING OR PROMOTING RESEARCH INTO THE CARE AND TREATMENT OF PERSONS SUFFERING FROM ANY ILLNESS, DISABILITY, DISEASE OR INFIRMITY AND PARTICULARLY INTO THE CARE AND TREATMENT OF PERSONS SUFFERING FROM CANCER OR TERMINAL ILLNESSES AND TO DISSEMINATE THE RESULTS THEREOF TO THE PUBLIC E) BY PROVIDING OR ASSISTING IN THE PROVISION OF SPIRITUAL HELP AND GUIDANCE FOR ANY PERSONS RESIDENT (EITHER AS PATIENTS OR OTHERWISE) OR WORKING IN ANY SUCH CENTRE HOSPICE HOSPITAL OR HOME AS A AFORESAID",CCEW,9383085,8942831,,Top charities,http://www.weld-hospice.org.uk,2520727,,C31
GB-CHC-1000566,1000566,THE SALVATION ARMY INTERNATIONAL TRUST,EC4V 4EH,True,,"THE CHARITY'S MAIN ACTIVITIES ARE TO CONTINUE THE ADVANCEMENT OF THE CHRISTIAN RELIGION THROUGH EVANGELISTIC OUTREACH, PROVIDING FINANCIAL ASSISTANCE TO SALVATION ARMY TERRITORIES, FACILITATING INTERNATIONAL PERSONNEL TRAINING AND DEVELOPMENT, CRISIS RELIEF, WORKING IN COMMUNITIES TO IMPROVE ACCESS TO QUALITY PRIMARY HEALTH CARE SERVICES AS CLOSE TO THE FAMILY UNIT AND FIGHTING HUMAN TRAFFICKING.","TO FURTHER THE WORK OF THE ARMY IN ANY PART OF THE WORLD AND IN PARTICULAR THE WORK OF THE INTERNATIONAL HEADQUARTERS OF THE ARMY AND OTHERWISE IN FURTHERANCE OF THE OBJECTS OF THE ARMY AS SET OUT IN SECTION 3 OF THE ACT NAMELY THE ADVANCEMENT OF THE CHRISTIAN RELIGION AS PROMULGATED IN THE RELIGIOUS DOCTRINES SET OUT IN SECTION 1 TO THE ACT WHICH ARE PROFESSED BELIEVED AND TAUGHT BY THE ARMY AND PURSUANT THERETO THE ADVANCEMENT OF EDUCATION, THE RELIEF OF POVERTY AND OTHER CHARITABLE OBJECTS BENEFICIAL TO SOCIETY OR THE COMMUNITY OF MANKIND AS A WHOLE.",CCEW,69646000,52071000,,Top charities,http://www.salvationarmy.org,2538134,,I10
GB-CHC-1000792,1000792,AUTISM WESSEX,BH23 6BP,True,1990-07-11,"Principal activities are: Education, care and short break services for children and young people with autism, learning difficulties or associated mental health difficulties. Social care services to adults, children and families whose lives are affected by autism, learning difficulties or associated mental health difficulties Information, advice and advocacy services.","FOR THE PUBLIC BENEFIT FOR THE PROVISION OF EDUCATION, SOCIAL CARE, ADVOCACY AND OTHER SUPPORT  SERVICES TO THOSE WHOSE LIVES ARE AFFECTED BY AUTISM, LEARNING AND DEVELOPMENTAL DIFFICULTIES  OR MENTAL HEALTH DIFFICULTIES.""",CCEW,9565737,9503745,,Top charities,http://www.autismwessex.org.uk,2506982,,D13
GB-CHC-1000851,1000851,AMANAT CHARITY TRUST,BL3 3SJ,True,1990-07-11,"To provide relief to victims of natural disasters and man made disasters worldwide regardless of colour, race ,ethnicity and to facilitate rehabilitation back into communities by providing sustainable aid concentrating on education and welfare projects",GENERAL CHARITABLE PURPOSES,CCEW,35359267,32818863,,Top charities,http://www.uwt.org,,,G30
GB-CHC-1001127,1001127,UNIVERSITIES UK,WC1H 9HQ,True,1990-07-12,"Our mission is to be the voice of universities, helping to maintain the world-leading strength of the UK university sector and supporting our members to achieve their aims and objectives.","TO PROMOTE, ENCOURAGE AND DEVELOP THE UNIVERSITY SECTOR OF HIGHER EDUCATION IN THE UNITED KINGDOM AND THEREBY ADVANCE EDUCATION FOR THE PUBLIC BENEFIT",CCEW,14849000,17043000,,Top charities,http://www.universitiesuk.ac.uk,2517018,,B21
GB-CHC-1001349,1001349,SAMARITAN'S PURSE INTERNATIONAL LIMITED,IG9 5EX,True,,"Samaritan's Purse is a non-profit, Christian organisation providing church support and emergency relief and development assistance to the victims of war, famine, natural disaster, and disease, with the aim of demonstrating God's love to all and sharing the Good News of Jesus Christ.","TO ADVANCE THE CHRISTIAN RELIGION, TO ADVANCE EDUCATION, TO RELIEVE POVERTY AND TO RELIEVE THE SICK.",CCEW,13188443,12947180,,Top charities,http://www.samaritans-purse.org.uk,2462257,,I10
GB-CHC-1001565,1001565,THE LIVERPOOL INSTITUTE FOR PERFORMING ARTS,L1 9HF,True,,Education and Training,"TO PROMOTE, MAINTAIN, IMPROVE, ENABLE AND ADVANCE EDUCATION AND PROVIDE FOR AND ASSIST IN THE PROMOTION, MAINTENANCE, IMPROVEMENT AND ADVANCEMENT OF EDUCATION AND IN PARTICULAR TO GENERATE INTEREST IN, PROMOTE, ENCOURAGE AND INCREASE THE APPRECIATION AND UNDERSTANDING OF THE PUBLIC IN THE PERFORMING ARTS AND TO CONDUCT,  CARRY ON,  ACQUIRE AND DEVELOP IN THE UNITED KINGDOM INSTITUTIONS FOR THE EDUCATION OF ADULTS OR CHILDREN, PARTICULARLY POOR CHILDREN, IN THE PERFORMING ARTS AND ANCILLARY SKILLS.",CCEW,12105736,11183776,,Top charities,http://www.lipa.ac.uk,2511501,,A11
GB-CHC-1001586,1001586,WorldSkills UK,SW1W 9SP,True,,"To champion skills and learning for work through competitions, awards and events",THE PROMOTION OF VOCATIONAL TRAINING AND EDUCATION OF ORGANISATIONS & INDIVIDUALS IN THE UNITED KINGDOM & TO RAISE THE STANDARDS OF SKILL & TECHNICAL KNOWLEDGE OF SUCH PERSONS,CCEW,10282609,10695484,,Top charities,http://www.worldskillsuk.org,2535199,,B31
GB-CHC-1001653,1001653,COTSWOLD ARCHAEOLOGY LTD,GL7 6BQ,True,,"We achieve our Object by creating knowledge which accrues from archaeological and heritage investigations and other research. Through our research we make the past relevant, interesting and enjoyable to a broad spectrum of beneficiaries. Developing knowledge of the past amongst stakeholders increases community cohesion and identity, and furthers an overall appreciation of the world we live in",THE COMPANY IS ESTABLISHED TO ADVANCE THE EDUCATION OF THE PUBLIC IN THE SUBJECT OF ARCHAEOLOGY AND THE APPRECIATION AND UNDERSTANDING OF THE CULTURAL HERITAGE AND HISTORIC ENVIRONMENT IN THE UNITED KINGDOM AND OTHER PARTS OF THE WORLD.,CCEW,12614753,12272271,,Top charities,http://www.cotswoldarchaeology.co.uk,2362531,,A12
GB-CHC-1001701,1001701,THE FORWARD TRUST,SE11 5DP,True,,"Provide a range of services to support individuals, families and communities whose lives are impacted by drug dependency, alcohol and other substance misuse.  The charity operates with challenging service users who have complex needs in the community and within the criminal justice system.","THE OBJECTS OF THE CHARITY ARE FOR THE PUBLIC BENEFIT AND PARTICULARLY, BUT NOT EXCLUSIVELY, BY WORKING WITH OFFENDERS, EX-OFFENDERS AND THOSE AT RISK OF OFFENDING:   2.1 TO RELIEVE PERSONS WHO ARE SUFFERING FROM THE EFFECTS OF ALCOHOLISM, DRUG ADDICTION OR OTHER FORMS OF ADDICTION OR DEPENDENCE TO SUBSTANCES, PERSONS ENGAGED IN SUBSTANCE MISUSE, AND PERSONS SUFFERING FROM OTHER COMPULSIVE DISORDERS AND RELATED MENTAL ILLNESSES INCLUDING BUT NOT LIMITED TO BY THE PROVISION OF TREATMENT, ADVICE, SUPPORT, INFORMATION AND COUNSELLING TO SUCH PERSONS AND THEIR FAMILIES AND DEPENDANTS, AND TO ASSIST IN THE REHABILITATION AND RECOVERY OF SUCH PERSONS;   2.2 TO ADVANCE THE EDUCATION:  2.2.1 AND TRAINING OF ANY PERSON WORKING IN THE FIELD OF ALCOHOLISM, DRUG ADDICTION OR OTHER FORMS OF ADDICTION OR DEPENDENCE TO SUBSTANCES, SUBSTANCE MISUSE, OTHER COMPULSIVE DISORDERS AND RELATED MENTAL ILLNESSES; AND   2.2.2 OF THE PUBLIC IN ALL ASPECTS OF ADDICTION PROBLEMS, INCLUDING ALCOHOL AND SUBSTANCE ABUSE;   2.3 TO PROMOTE RESEARCH INTO THE CARE AND TREATMENT OF PERSONS WHO ARE SUFFERING FROM THE EFFECTS OF ALCOHOLISM, DRUG ADDICTION OR OTHER FORMS OF ADDICTION OR DEPENDENCE TO SUBSTANCES, PERSONS ENGAGED IN SUBSTANCE MISUSE, AND PERSONS SUFFERING FROM OTHER COMPULSIVE DISORDERS AND RELATED MENTAL ILLNESSES AND TO DISSEMINATE THE RESULTS OF SUCH RESEARCH TO THE PUBLIC;   2.4 TO PROMOTE THE CARE, RESETTLEMENT AND REHABILITATION OF OFFENDERS, EX-OFFENDERS AND THOSE AT RISK OF OFFENDING, AND TO SUPPORT THEIR FAMILIES AND DEPENDANTS, IN PARTICULAR (BUT WITHOUT LIMITATION) BY PROVIDING, PROMOTING, SUPPORTING OR ORGANISING THE RECRUITMENT, EMPLOYMENT, EDUCATION AND TRAINING OF OFFENDERS, EX-OFFENDERS AND THOSE AT RISK OF OFFENDING AND TO ASSIST THEM IN FINDING EMPLOYMENT OR SELF EMPLOYMENT AND ACCOMMODATION AND IN REHABILITATING THEMSELVES;   2.5 TO PROMOTE THE PREVENTION OF CRIME AND SOCIAL EXCLUSION BY SUPPORTING OR CARRYING ON EITHER ALONE OR IN CO-OPERATION WITH ANY OTHER BODY, AUTHORITY ORPERSON ANY PROJECT OF SCHEME AND BY PROVIDING MONEY FOR SUCH PURPOSES WHETHER BY LOAN OR OTHERWISE;   2.6 TO PROVIDE FACILITIES IN THE INTERESTS OF SOCIAL WELFARE FOR RECREATION AND LEISURE TIME OCCUPATION WITH THE OBJECTIVE OF IMPROVING THE CONDITIONS OF LIFE FOR THE GENERAL PUBLIC.",CCEW,22032000,22346000,,Top charities,http://www.forwardtrust.org.uk,2560474,,C22
GB-CHC-1001704,1001704,EMH CARE AND SUPPORT LIMITED,LE67 4JP,True,,"The relief of persons with learning difficulties, sensory or other diasbilities (including but not limited to persons who are physcially, mentally/learning disabled, mentally ill, chronically sick, vulnerable or in necessitous circumstances) by provision of accomodation, and other amenities, facilities and services calcualted to alleviate the disabilities and suffering of such persons.","(A) THE RELIEF OF PERSONS WITH LEARNING DIFFICULTIES, OR SENSORY OR OTHER DISABILITIES (INCLUDING BUT NOT LIMITED TO PERSONS WHO ARE PHYSICALLY, MENTALLY OR LEARNING DISABLED OR MENTALLY ILL OR  CHRONICALLY SICK OR VULNERABLE OR IN NECESSITOUS CIRCUMSTANCES FOR SOME OTHER REASON) BY THE PROVISION OF ACCOMMODATION, AND OTHER AMENITIES, FACILITIES AND SERVICES (INCLUDING BUT NOT LIMITED TO THE PROVISION OF CARE, WELFARE AND NURSING SERVICES) CALCULATED TO ALLEVIATE THE DISABILITIES AND SUFFERING OFSUCH PERSONS;    (B) TO EDUCATE THE PUBLIC CONCERNING THE PROVISION OF HOUSING AND CARE FACILITIES FOR THE BENEFIT OF PERSONS SUFFERING FROM LEARNING DIFFICULTIES, MOBILITY PROBLEMS OR OTHER DISABILITIES (INCLUDING  BUT NOT LIMITED TO PERSONS WHO AREPHYSICALLY, MENTALLY OR LEARNING DISABLED OR MENTALLY ILL OR CHRONICALLY SICK OR VULNERABLE OR IN NECESSITOUS CIRCUMSTANCES FOR SOME OTHER REASON) OR WHO ARE OTHERWISE EXPERIENCING POOR HOUSING CONDITIONS;    (C) TO UNDERTAKE OR FACILITATE RESEARCH INCONNECTION WITH THE PRECEDING OBJECTS UPON TERMS THAT SUCH RESEARCH SHALL BE PUBLISHED.",CCEW,16938000,15542000,,Top charities,http://www.emhcareandsupport.org.uk,2488821,,D13
GB-CHC-1001813,1001813,THE HALO TRUST,DG3 5BF,True,1991-05-02,HALO 1. Helps to eliminate the threat to lives and livelihoods posed by landmines and Explosive Remnants of War (ERW); 2. Designs and delivers physical security & stockpile management (PSSM) of explosive ammunition for the protection of civilians; 3. Reduces the potential for armed violence in fragile states; 4. Responds rapidly to crises to alleviate suffering and enable humanitarian efforts.,"(A) THE RELIEF OF POVERTY, SICKNESS, SUFFERING AND DISTRESS THROUGHOUT THE WORLD, IN PARTICULAR BY THE PROVISION OF HYDROLOGICAL, ENGINEERING AND OTHER WORKS AND MEDICAL AID WITH PARTICULAR EMPHASIS ON THE CARE AND REHABILITATION OF NON-COMBATANT VICTIMS IN AREAS WHERE THERE IS HUMAN CONFLICT AND THE PROVISION OF ASSISTANCE IN THE REMOVAL OF DEBRIS OF MILITARY HARDWARE WHICH MAY BE A DIRECT THREAT TO NON-COMBATANTS IN HAZARDOUS AREAS WHERE HOSTILITIES HAVE CEASED.  (B) TO CARRY OUT OR CONDUCT ORTO ASSIST IN CARRYING OUT OR CONDUCTING ANY RESEARCH INTO THE SPECIAL PROBLEMS ARISING FROM INJURIES SUSTAINED BY NON-COMBATANTS IN HAZARDOUS AREAS AND INTO METHODS OF ALLEVIATING SUFFERING ARISING THEREFROM AND TO PUBLISH THE USEFUL RESULTS OF ANY SUCH RESEARCH.",CCEW,75007000,75024000,,Top charities,http://www.halotrust.org,2228587,SL103;EC103;SL102;SO102,G30
GB-CHC-1001957,1001957,We Are With You,EC1M 4DH,True,,PROVIDES A RANGE OF SERVICES FOR DRUG AND ALCOHOL MISUSERS AND THEIR FAMILIES IN COMMUNTY AND PRISON ENVIRONMENTS. FROM EDUCATION AND PREVENTION TO COMMUNITY SERVICES AND RESIDENTIAL REHABILIATION.WE ALSO SUPORT THE MENTAL HEALTH AND WELLBEING OF PEOPLE WITH MENTAL HEALTH DIFFICULITIES,"(I) THE RELIEF OF POVERTY AND SICKNESS AMONG THOSE PERSONS GENERALLY WHO ARE DEPENDENT UPON OR AFFECTED BY ADDICTION TO DRUGS AND ALCOHOL AND OTHER SIMILAR SUBSTANCES OR COMPOUNDS OF POSSIBLE POTENTIAL OR SUSPECTED DANGER TO THE INDIVIDUAL AND THE COMMUNITY (HEREINAFTER REFERRED TO AS ""DRUGS AND ALCOHOL"").    (II) THE RELIEF OF POVERTY AND SICKNESS AMONG PARENTS OF CHILDREN AFFECTED BY DEPENDENCE UPON OR ADDICTION TO DRUGS AND ALCOHOL AND AMONG FAMILIES, ANY MEMBERS OF WHICH ARE DEPENDENT UPON ORAFFECTED BY ADDICTION TO DRUGS AND ALCOHOL.    (III) THE EDUCATION AND TRAINING OF THE INDIVIDUAL AND THE COMMUNITY AT LARGE AND ADVANCEMENT OF EDUCATION AND TRAINING IN AND RESEARCH INTO THE DANGER ARISING FROM THE HABITUAL OR OTHER USE OF DRUGS ANDALCOHOL TOGETHER WITH PUBLICATION OF LITERATURE RELATING TO DEPENDENCE UPON OR ADDICTION TO DRUGS AND ALCOHOL AND OF THE RESULTS OF ANY SUCH RESEARCH.    (IV) THE PREVENTION OF DEPENDENCE UPON OR ADDICTION TO DRUGS AND ALCOHOL, THE CONSULTATION, TREATMENT AND CARE OF THOSE SUFFERING FROM, AND REHABILITATION OF THOSE RELIEVED FROM, DEPENDENCE UPON OR ADDICTION TO DRUGS AND ALCOHOL PROVIDED ALWAYS THAT ANY SUCH TREATMENT AS AFORESAID SHALL BE CARRIED OUT ONLY UNDER THE SUPERVISION OF A DULY QUALIFIED MEDICAL PRACTITIONER UNDER THE NATIONAL HEALTH SERVICE AND WHEREVER THERE OCCURS ANY REFERENCE IN THIS DEED TO TREATMENT SUCH TREATMENT SHALL BE CONSTRUED AS SO LIMITED.",CCEW,67209000,68488000,,Top charities,http://www.addaction.org.uk,2580377,,C12
GB-CHC-1002727,1002727,AVANTE CARE AND SUPPORT LIMITED,ME13 8GD,True,1991-01-05,"Residential, Respite, Nursing & Day Care for older people, specialising in dementia care. Domiciliary care for older people. Home Support for adults with learning difficulties. Support for older people in sheltered accomodation","THE RELIEF OF PERSONS RESIDENT IN ENGLAND  WHO (I) ARE OF NECESSITOUS CIRCUMSTANCES; OR (11) SUFFER OR ARE RECOVERING OR CONVALESCING FROM SOME PHYSICAL OR MENTAL ILLNESS OR DISABILITY; OR (111) ARE ELDERLY PEOPLE; OR (IV) ARE YOUNGER PEOPLE, ADOLESCENTS OR CHILDREN BY :-1. THE PROVISION AND MAINTENANCE OF HOUSING ACCOMMODATION UPON TERMS APPROPRIATE TO THEIR MEANS; OR CARE AND SUPPORT TO MEET THE NEEDS OF PERSONS WHOSE RELIEF THE COMPANY IS ESTABLISHED, INCLUDING BUT NOT LIMITED TO THOSE FOR WHOMACCOMMODATION IS PROVIDED OR 2. SUCH OTHER MEANS AS MAY FROM TIME TO TIME BE DETERMINED.",CCEW,26553006,24519633,,Top charities,http://www.avantecare.org.uk,2565021,,C31
GB-CHC-1002832,1002832,WESSEX CHILDREN'S HOSPICE TRUST,SO21 3JE,True,1991-09-05,"The Trust operates two purpose built hospices, Naomi House for children, and Jacksplace for young people. Support is provided to children and young people with conditions that mean they are unlikely to live to become adults.  We offer one-to-one palliative care that includes respite, terminal and bereavement care and support to children/young people and their families.",THE RELIEF OF SICKNESS AMONGST CHILDREN AND YOUNG PEOPLE.,CCEW,10353071,9022410,,Top charities,http://www.naomihouse.org.uk,2601495,,C31
GB-CHC-1002966,1002966,THE ERIC WRIGHT CHARITABLE TRUST,PR5 6AW,True,,"The Charity's main aim is to provide on-going support to the Water Park Ltd, which provides outward bound activity centre for the benefit of young people.",FOR OR TOWARDS SUCH CHARITABLE PURPOSES AND TO MAKE DONATIONS TO SUCH CHARITABLE BODY TRUST INSTITUTION OR ORGANISATION AT SUCH TIME OR TIMES AND IN SUCH MANNER AS THE TRUSTEES MAY IN THEIR ABSOLUTE DISCRETION THINK FIT,CCEW,184012535,180797758,,Top charities,http://ericwright.co.uk,,LE104;CA202,D11
GB-CHC-1003314,1003314,CHILDREN'S HOSPICE SOUTH WEST,EX31 2PZ,True,,Provision of hospice care for life-limited children and their families,"THE RELIEF OF CHILDREN AND YOUNG PERSONS PARTICULARLY THOSE WHO ARE RESIDENT IN THE SOUTH WESTERN COUNTIES OF ENGLAND AND WHO ARE SUFFERING FROM CHRONIC OR TERMINAL DISEASE AND TO RELIEVE THE FAMILIES OF SUCH CHILDREN AND YOUNG PERSONS WHO ARE IN CONDITIONS OF NEED,HARDSHIP OR DISTRESS.",CCEW,13840227,14461225,,Top charities,http://www.chsw.org.uk,2620879,,C31
GB-CHC-1003859,1003859,HOPE HOUSE CHILDREN'S HOSPICES,SY10 9BX,True,1991-12-08,"Hope House Children's Hospices provides palliative care for babies, children and young adults up to the age of 25 and support for their family. Care is provided at home, in hospital and at two specially designed hospices, Hope House in Shropshire and Ty Gobaith in North Wales. Services include respite, emergency care, end of life care, social work, sibling support and counselling.",TO PROMOTE THE RELIEF OF ILLNESS AND SUFFERING IN SUCH A WAY AS THE ASSOCIATION SHALL FROM TIME TO TIME THINK FIT.,CCEW,9081378,8761007,,Top charities,http://www.hopehouse.org.uk,2588103,,C31
